recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.4076728048772955
ma-la-chicken	7.219766965264448	1.0
quesadillas	7.279767058590149	0.39374943430131193
ramen	7.253662340084377	0.4713632664405526
bacon-fried-rice	6.972716848894741	0.2759843422563435
pain-au-chocolat	6.9490766716949075	0.474453472807862
spamburger	6.949528284628965	0.3374740355340926
chocolate-babka	6.886656300340019	0.0
nacho-fries	6.741162444154799	0.31221648331630303
cranberry-relish	6.640773118342858	0.420153523526662
guacamole	6.5978567521870914	0.47423355797852407
asparagus-quiche	6.363235502603323	0.2847739887949723
dan-dan-noodles	6.324214019679102	0.2992187787459666
strawberry-rhubarb-crisp	6.297965401779127	0.33523726936257436
bacon-wrapped-asparagus	6.236550024878257	0.4472616879156255
cold-noodles-with-tomatoes	6.239278670390896	0.3223569639516437
asparagus-burger	6.173132244566821	0.2620865643151311
apple-pie	6.125335873336346	0.31621558275922623
tamales	6.0709037595117925	0.4427189278652338
bacon-wrapped-chicken	6.050172851984025	1.0
brioche-bread	6.051237365844813	0.2606877671995217
chicken-nuggets	5.866213177150051	1.0
mushroom-quiche	5.870722248994884	1.0
apple-crisp	5.848942329260357	0.3955654712130616
taco-salad	5.751775686680292	0.29155108501467286
bacon-mac-and-cheese	5.728570105653243	0.35721296829046245
spam-musubi	5.658848270984107	0.26663770678333565
fajitas	5.655424512532629	0.31841213750970887
croissants	5.503868878900155	0.49085178584565914
sujebi	5.476996081491039	0.44585538843804473
bacon-wrapped-shrimp-skewers	5.411056709669987	0.44758860946455503
tacos	5.381746910690423	0.3531123586918905
croissant-aux-amandes	5.358843893557357	0.41838698478647796
chocolate-peanut-butter-cake	5.29601354122832	0.0
quiche-lorraine	5.245931964857351	0.3009063657625375
nacho-salad	5.240490825634429	0.39207967844204095
cranberry-apple-crisp	5.2031427467146605	0.30951791407134943
spinach-and-ricotta-lasagna	5.117099453600736	0.44203954423764036
breakfast-burritos	5.081371948197138	0.47357072078642304
soba-noodle-salad-with-peanut-dressing	5.047587255451374	0.0
enchiladas	5.026274539425391	0.3045273877363862
nachos	5.008282405725504	0.29853219893389427
souffle	5.00059578339677	0.4234277779786404
peach-crisp	4.926539181400261	1.0
spinach-quiche	4.929528786372524	0.40666123813786426
danishes	4.912566267829	0.2741725026958254
chicken-fingers	4.853045051673899	1.0
vanilla-souffle	4.852476658316424	0.31113674120529977
loaded-nachos	4.8450042220507905	0.4832517293881343
cherry-pie	4.8090183449035155	0.38556878989258925
ma-la-beef	4.798458614770739	0.3426329354531301
bacon-wrapped-scallops	4.787638993102767	0.4689292106657208
brownies	4.668512390246471	0.3438499470297117
falafel	4.640771903653754	0.2537227841254389
pickled-green-beans	4.622942559055215	0.4544759957208264
bolognese-sauce	4.569257453398004	0.4775895187289074
chicken-alfredo-lasagna	4.5685237966443575	1.0
bacon-egg-muffins	4.576804603939314	0.27020702142487907
tempura-udon	4.549352173849689	0.45897693626932323
chiles-rellenos	4.507304420996222	0.4012449462950807
cold-sesame-noodles	4.506023903209347	0.41831839940898463
burritos	4.497065298974383	0.2531304102138501
cranberry-sauce	4.440720814230893	0.33739805519128874
peanut-butter-cupcakes	4.392231382794928	0.0
maple-bacon-donuts	4.367395023999117	0.4708919355425375
bacon-and-egg-breakfast-sandwich	4.327185948107964	0.3846031492497509
spinach-and-feta-quiche	4.3248194926586505	0.2640725178625083
fried-oysters	4.277072296458561	0.0
peach-cobbler	4.260958769330297	1.0
cold-soba-noodles-with-tomato-and-cucumber	4.225999210536097	0.41951526928176064
bacon-wrapped-dates	4.206616659958756	0.3171954444507662
brioche-bread-with-chocolate	4.198388585666969	0.0
udon	4.1877758229289475	0.2590536367259282
almond-chip-cookies	4.1479783636234	1.0
almond-croissants	4.165645789876195	1.0
maple-bacon-pancakes	4.117940287802562	0.35411500517691374
pico-de-gallo	4.091026871280127	0.4797766751252025
berry-crisp	4.082013500327621	0.3101266820124239
pickled-asparagus	4.067801490208641	0.3733838159088996
classic-beef-lasagna	4.056970776479494	0.4146080645472927
nacho-casserole	4.0324754427516005	0.2694259471875844
nacho-dip	3.930003814818167	0.2943735462559125
french-toast	3.87027089739908	0.26406173603795624
bacon-chocolate-chip-cookies	3.811283939191812	0.0
pasta-primavera	3.8084197802725983	0.49901809100808636
lasagna	3.7285528078006855	0.3724845064543776
cherry-cobbler	3.6761185301241186	0.45378035365313973
blueberry-crisp	3.551304706266726	0.34074263904240254
chocolate-croissants	3.480971527425053	0.0
vegetarian-mushroom-lasagna	3.4763958854061014	1.0
chocolate-cake	3.2102145102811455	0.0
spinach-and-ricotta-stuffed-shells	3.186728051928573	0.36491125091698806
cinnamon-babka	3.053894597667818	0.4642519094717492
blueberry-crumble	3.0069836816947073	0.4317442909717817
peanut-butter-brownies	3.006886670238145	0.0
ma-la-chicken	2.81635555917087	1.0
chicken-nuggets	2.799977376954624	1.0
bacon-souffle	2.783304686495315	0.28338049667137677
bacon-wrapped-chicken	2.7719197042991723	1.0
mushroom-quiche	2.7645777215009817	1.0
