state	speed_discomfort	minimize_discomfort
exposed-1	1.2392223080974152	1.2392223080974152
exposed-2	2.4809255459908943	2.4809255459908943
exposed-3	4.9668179160217765	4.9668179160217765
symptoms-1	9.94357942028431	9.94357942028431
symptoms-2	6.640087881311727	6.640087881311727
symptoms-3	3.3255736614121054	3.3255736614121054
recovered	-0.0	-0.0
