state	expected_discomfort
exposed-1	3.3838999179725073
exposed-2	4.234109014540379
exposed-3	5.297934209640521
symptoms-1	6.629046815394419
symptoms-2	4.982830771059889
symptoms-3	1.662786830696486
recovered	-0.0
