threshold	true_positive_rate	false_positive_rate
0.01	0.9965034965034965	0.036231884057971016
0.02	0.9965034965034965	0.036231884057971016
0.03	0.9965034965034965	0.03260869565217391
0.04	0.9965034965034965	0.030797101449275364
0.05	0.9965034965034965	0.028985507246376812
0.060000000000000005	0.9965034965034965	0.025362318840579712
0.06999999999999999	0.9965034965034965	0.025362318840579712
0.08	0.9947552447552448	0.02355072463768116
0.09	0.9947552447552448	0.02355072463768116
0.09999999999999999	0.9947552447552448	0.021739130434782608
0.11	0.9947552447552448	0.021739130434782608
0.12	0.9947552447552448	0.021739130434782608
0.13	0.9947552447552448	0.021739130434782608
0.14	0.9947552447552448	0.021739130434782608
0.15000000000000002	0.9947552447552448	0.021739130434782608
0.16	0.9947552447552448	0.021739130434782608
0.17	0.9947552447552448	0.021739130434782608
0.18000000000000002	0.9947552447552448	0.021739130434782608
0.19	0.9947552447552448	0.019927536231884056
0.2	0.9947552447552448	0.019927536231884056
0.21000000000000002	0.9947552447552448	0.019927536231884056
0.22	0.9947552447552448	0.019927536231884056
0.23	0.9947552447552448	0.019927536231884056
0.24000000000000002	0.9947552447552448	0.019927536231884056
0.25	0.9947552447552448	0.019927536231884056
0.26	0.9947552447552448	0.019927536231884056
0.27	0.9947552447552448	0.019927536231884056
0.28	0.9947552447552448	0.019927536231884056
0.29000000000000004	0.9947552447552448	0.019927536231884056
0.3	0.9947552447552448	0.019927536231884056
0.31	0.9947552447552448	0.019927536231884056
0.32	0.9947552447552448	0.019927536231884056
0.33	0.9947552447552448	0.019927536231884056
0.34	0.9947552447552448	0.019927536231884056
0.35000000000000003	0.9947552447552448	0.019927536231884056
0.36000000000000004	0.9947552447552448	0.019927536231884056
0.37	0.9947552447552448	0.019927536231884056
0.38	0.9947552447552448	0.019927536231884056
0.39	0.9947552447552448	0.019927536231884056
0.4	0.9947552447552448	0.019927536231884056
0.41000000000000003	0.9947552447552448	0.019927536231884056
0.42000000000000004	0.9947552447552448	0.019927536231884056
0.43	0.9947552447552448	0.019927536231884056
0.44	0.9947552447552448	0.019927536231884056
0.45	0.9947552447552448	0.019927536231884056
0.46	0.9947552447552448	0.019927536231884056
0.47000000000000003	0.9947552447552448	0.019927536231884056
0.48000000000000004	0.9947552447552448	0.019927536231884056
0.49	0.9947552447552448	0.019927536231884056
0.5	0.9947552447552448	0.019927536231884056
0.51	0.9947552447552448	0.019927536231884056
0.52	0.9947552447552448	0.019927536231884056
0.53	0.9947552447552448	0.019927536231884056
0.54	0.9947552447552448	0.019927536231884056
0.55	0.9947552447552448	0.019927536231884056
0.56	0.9947552447552448	0.019927536231884056
0.5700000000000001	0.993006993006993	0.019927536231884056
0.5800000000000001	0.993006993006993	0.019927536231884056
0.59	0.993006993006993	0.019927536231884056
0.6	0.993006993006993	0.019927536231884056
0.61	0.993006993006993	0.019927536231884056
0.62	0.993006993006993	0.019927536231884056
0.63	0.993006993006993	0.019927536231884056
0.64	0.993006993006993	0.019927536231884056
0.65	0.993006993006993	0.019927536231884056
0.66	0.993006993006993	0.019927536231884056
0.67	0.993006993006993	0.019927536231884056
0.68	0.993006993006993	0.019927536231884056
0.6900000000000001	0.993006993006993	0.019927536231884056
0.7000000000000001	0.993006993006993	0.019927536231884056
0.7100000000000001	0.993006993006993	0.019927536231884056
0.72	0.993006993006993	0.019927536231884056
0.73	0.993006993006993	0.019927536231884056
0.74	0.993006993006993	0.019927536231884056
0.75	0.993006993006993	0.019927536231884056
0.76	0.993006993006993	0.019927536231884056
0.77	0.993006993006993	0.019927536231884056
0.78	0.993006993006993	0.019927536231884056
0.79	0.993006993006993	0.019927536231884056
0.8	0.993006993006993	0.019927536231884056
0.81	0.993006993006993	0.019927536231884056
0.8200000000000001	0.993006993006993	0.019927536231884056
0.8300000000000001	0.993006993006993	0.019927536231884056
0.8400000000000001	0.993006993006993	0.019927536231884056
0.85	0.9912587412587412	0.019927536231884056
0.86	0.9895104895104895	0.019927536231884056
0.87	0.9895104895104895	0.019927536231884056
0.88	0.9895104895104895	0.019927536231884056
0.89	0.9895104895104895	0.019927536231884056
0.9	0.9895104895104895	0.019927536231884056
0.91	0.9895104895104895	0.019927536231884056
0.92	0.9877622377622378	0.019927536231884056
0.93	0.9877622377622378	0.019927536231884056
0.9400000000000001	0.986013986013986	0.019927536231884056
0.9500000000000001	0.986013986013986	0.019927536231884056
0.9600000000000001	0.986013986013986	0.019927536231884056
0.97	0.9807692307692307	0.019927536231884056
0.98	0.9807692307692307	0.019927536231884056
0.99	0.9772727272727273	0.018115942028985508
